fecha,compra,venta,variacion
01/07/2024,"1.413,01","1.413,01","4,60%"
02/07/2024,"1.428,46","1.428,46","1,08%"
03/07/2024,"1.382,50","1.382,50","-3,32%"
04/07/2024,"1.395,68","1.395,68","0,94%"
05/07/2024,"1.396,24","1.396,24","0,04%"
08/07/2024,"1.386,86","1.386,86","-0,68%"
09/07/2024,"1.386,86","1.386,86","0,00%"
10/07/2024,"1.377,39","1.377,39","-0,69%"
11/07/2024,"1.403,33","1.403,33","1,85%"
12/07/2024,"1.416,22","1.416,22","0,91%"
15/07/2024,"1.307,54","1.307,54","-8,31%"
16/07/2024,"1.278,94","1.278,94","-2,24%"
17/07/2024,"1.300,00","1.300,00","1,62%"
18/07/2024,"1.315,29","1.315,29","1,16%"
19/07/2024,"1.331,70","1.331,70","1,23%"
22/07/2024,"1.333,37","1.333,37","0,13%"
23/07/2024,"1.324,96","1.324,96","-0,63%"
24/07/2024,"1.337,51","1.337,51","0,94%"
25/07/2024,"1.332,77","1.332,77","-0,36%"
26/07/2024,"1.323,15","1.323,15","-0,73%"
29/07/2024,"1.296,57","1.296,57","-2,05%"
30/07/2024,"1.267,95","1.267,95","-2,26%"
31/07/2024,"1.293,33","1.293,33","1,96%"
01/08/2024,"1.300,14","1.300,14","0,52%"
02/08/2024,"1.334,04","1.334,04","2,54%"
05/08/2024,"1.346,09","1.346,09","0,90%"
06/08/2024,"1.336,40","1.336,40","-0,73%"
07/08/2024,"1.331,95","1.331,95","-0,33%"
08/08/2024,"1.310,45","1.310,45","-1,64%"
09/08/2024,"1.298,27","1.298,27","-0,94%"
12/08/2024,"1.284,35","1.284,35","-1,08%"
13/08/2024,"1.272,49","1.272,49","-0,93%"
14/08/2024,"1.268,81","1.268,81","-0,29%"
15/08/2024,"1.276,21","1.276,21","0,58%"
16/08/2024,"1.295,30","1.295,30","1,47%"
19/08/2024,"1.290,10","1.290,10","-0,40%"
20/08/2024,"1.287,82","1.287,82","-0,18%"
21/08/2024,"1.291,75","1.291,75","0,30%"
22/08/2024,"1.283,23","1.283,23","-0,66%"
23/08/2024,"1.282,70","1.282,70","-0,04%"
26/08/2024,"1.288,25","1.288,25","0,43%"
27/08/2024,"1.286,19","1.286,19","-0,16%"
28/08/2024,"1.282,19","1.282,19","-0,31%"
29/08/2024,"1.271,33","1.271,33","-0,85%"
30/08/2024,"1.279,96","1.279,96","0,67%"
02/09/2024,"1.285,01","1.285,01","0,39%"
03/09/2024,"1.294,46","1.294,46","0,73%"
04/09/2024,"1.279,84","1.279,84","-1,14%"
05/09/2024,"1.258,82","1.258,82","-1,67%"
06/09/2024,"1.243,87","1.243,87","-1,20%"
09/09/2024,"1.226,42","1.226,42","-1,42%"
10/09/2024,"1.230,44","1.230,44","0,33%"
11/09/2024,"1.230,16","1.230,16","-0,02%"
12/09/2024,"1.239,48","1.239,48","0,75%"
13/09/2024,"1.226,53","1.226,53","-1,06%"
16/09/2024,"1.215,72","1.215,72","-0,89%"
17/09/2024,"1.214,04","1.214,04","-0,14%"
18/09/2024,"1.206,72","1.206,72","-0,61%"
19/09/2024,"1.197,74","1.197,74","-0,75%"
20/09/2024,"1.200,10","1.200,10","0,20%"
23/09/2024,"1.204,57","1.204,57","0,37%"
24/09/2024,"1.202,13","1.202,13","-0,20%"
25/09/2024,"1.209,79","1.209,79","0,63%"
26/09/2024,"1.210,95","1.210,95","0,10%"
27/09/2024,"1.207,75","1.207,75","-0,26%"
30/09/2024,"1.215,03","1.215,03","0,60%"
01/10/2024,"1.220,07","1.220,07","0,41%"
02/10/2024,"1.207,51","1.207,51","-1,04%"
03/10/2024,"1.191,74","1.191,74","-1,32%"
04/10/2024,"1.187,52","1.187,52","-0,36%"
07/10/2024,"1.184,07","1.184,07","-0,29%"
08/10/2024,"1.169,54","1.169,54","-1,24%"
09/10/2024,"1.147,40","1.147,40","-1,93%"
10/10/2024,"1.134,84","1.134,84","-1,11%"
11/10/2024,"1.134,84","1.134,84","0,00%"
14/10/2024,"1.143,88","1.143,88","0,79%"
15/10/2024,"1.139,91","1.139,91","-0,35%"
16/10/2024,"1.159,89","1.159,89","1,72%"
17/10/2024,"1.159,60","1.159,60","-0,03%"
18/10/2024,"1.159,05","1.159,05","-0,05%"
21/10/2024,"1.167,91","1.167,91","0,76%"
22/10/2024,"1.163,08","1.163,08","-0,42%"
23/10/2024,"1.162,85","1.162,85","-0,02%"
24/10/2024,"1.157,80","1.157,80","-0,44%"
25/10/2024,"1.142,01","1.142,01","-1,38%"
28/10/2024,"1.132,26","1.132,26","-0,86%"
29/10/2024,"1.138,38","1.138,38","0,54%"
30/10/2024,"1.137,10","1.137,10","-0,11%"
31/10/2024,"1.129,37","1.129,37","-0,68%"
